IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,1,23,13001.0,13.0,3,1,1,0.0,1,2,3,5
3,1,2,17,13001.0,13.0,3,1,1,0.0,1,3,4,0
1,1,2,29,13001.0,13.0,3,1,1,0.0,1,3,3,0
1,1,2,18,13001.0,13.0,3,1,1,0.0,1,2,2,0
1,1,2,21,13001.0,13.0,3,1,1,0.0,1,3,2,6
1,1,1,20,13001.0,13.0,3,1,1,0.0,1,3,3,0
1,1,1,37,73001.0,73.0,3,1,2,0.0,1,3,2,6
1,1,1,18,73001.0,73.0,3,1,2,0.0,1,4,3,0
1,1,1,22,73001.0,73.0,3,1,2,0.0,1,3,3,4
1,1,1,49,73001.0,73.0,3,1,2,0.0,1,1,2,0
1,1,2,22,73001.0,73.0,3,1,2,0.0,1,2,3,3
1,1,1,39,73001.0,73.0,3,1,2,0.0,1,2,3,0
1,1,1,19,73001.0,73.0,3,1,2,0.0,1,3,3,5
3,1,2,18,73001.0,73.0,3,1,2,0.0,1,3,3,5
1,1,2,20,73001.0,73.0,3,1,2,0.0,1,3,4,5
1,1,2,18,23001.0,23.0,3,1,1,0.0,1,3,3,4
1,1,2,19,23580.0,23.0,3,1,1,0.0,1,3,3,0
1,1,2,19,23001.0,23.0,1,1,2,0.0,1,4,3,0
1,1,2,22,23001.0,23.0,1,1,2,0.0,1,4,5,1
1,1,2,18,11001.0,11.0,3,1,2,0.0,1,3,3,0
1,1,1,24,25269.0,25.0,3,1,2,0.0,1,3,3,3
1,1,1,18,25269.0,25.0,3,1,2,0.0,1,3,3,3
1,1,2,21,25269.0,25.0,3,1,2,0.0,1,2,2,0
1,1,2,21,11001.0,11.0,1,1,1,0.0,1,4,4,3
1,1,2,19,11001.0,11.0,1,1,1,0.0,1,3,4,0
1,1,1,20,41001.0,41.0,1,1,1,0.0,1,3,3,6
3,1,1,17,5360.0,5.0,1,1,1,0.0,1,3,3,6
1,1,2,20,5360.0,5.0,1,1,1,0.0,1,3,3,0
1,1,2,23,NOID,NOID,1,1,1,0.0,1,3,3,0
1,1,2,26,8758.0,8.0,3,1,2,0.0,1,3,4,2
1,1,2,19,8758.0,8.0,1,1,1,0.0,3,3,4,3
1,1,2,20,11001.0,11.0,1,1,1,0.0,3,3,4,2
1,1,1,19,5001.0,5.0,1,1,1,0.0,1,3,3,3
1,1,1,28,5837.0,5.0,3,1,1,0.0,1,3,3,6
1,1,1,34,5045.0,5.0,3,1,1,0.0,1,3,3,5
1,1,2,18,5001.0,5.0,3,1,1,0.0,1,3,3,0
1,1,2,30,11001.0,11.0,3,1,1,0.0,1,3,3,4
1,1,2,18,5045.0,5.0,3,1,1,0.0,1,3,3,4
1,1,2,30,5045.0,5.0,3,1,1,0.0,1,3,3,0
1,1,1,39,5045.0,5.0,3,1,1,0.0,1,2,3,0
1,1,2,21,5045.0,5.0,3,1,1,0.0,1,3,3,4
1,1,1,22,5045.0,5.0,3,1,1,0.0,1,2,3,0
1,1,1,19,5045.0,5.0,3,1,1,0.0,1,4,3,0
1,1,1,22,5376.0,5.0,3,1,1,0.0,1,2,3,0
1,1,1,38,5045.0,5.0,3,1,1,0.0,1,3,4,3
